epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,62499.1,1.32207,0.89716,1.02941,0.75735,0.66305,0.71257,0.46031,1.27798,0.8084,1.0424,0.00406,0.00406,0.00406
62,63431.1,1.31998,0.89658,1.027,0.75357,0.66407,0.71325,0.46114,1.2769,0.80743,1.04171,0.003961,0.003961,0.003961
63,64363.3,1.32162,0.89501,1.02574,0.76616,0.65827,0.71281,0.46133,1.27621,0.80675,1.04126,0.003862,0.003862,0.003862
64,65294,1.31797,0.89187,1.02593,0.76867,0.65698,0.71304,0.46114,1.27587,0.80614,1.04097,0.003763,0.003763,0.003763
65,66221.7,1.31072,0.88213,1.02283,0.77008,0.65768,0.71387,0.46137,1.275,0.80518,1.04043,0.003664,0.003664,0.003664
66,67149.6,1.30979,0.88228,1.02446,0.77093,0.65806,0.71437,0.46105,1.27444,0.8045,1.04029,0.003565,0.003565,0.003565
67,68075.4,1.31399,0.8887,1.02296,0.77079,0.65901,0.71502,0.46186,1.27367,0.80386,1.0399,0.003466,0.003466,0.003466
68,69001.6,1.3069,0.88069,1.02084,0.77679,0.65706,0.71539,0.46247,1.27297,0.80342,1.03952,0.003367,0.003367,0.003367
69,69928.4,1.30435,0.87753,1.02126,0.77642,0.65887,0.71591,0.46278,1.27215,0.80243,1.03917,0.003268,0.003268,0.003268
70,70856.1,1.3019,0.87632,1.02053,0.77813,0.65731,0.71603,0.4627,1.27136,0.80169,1.03876,0.003169,0.003169,0.003169
71,71783.4,1.30429,0.87516,1.02071,0.77703,0.65909,0.71658,0.46341,1.27091,0.80089,1.03827,0.00307,0.00307,0.00307
72,72712,1.30001,0.87292,1.01789,0.77684,0.66,0.7168,0.46356,1.27036,0.80013,1.03789,0.002971,0.002971,0.002971
